Symbol,Date,Open,High,Low,Close,Volume
M,2018-02-06,23.0,24.4,22.47,24.16,1.3486357E7
M,2018-02-05,24.55,24.89,23.44,23.47,1.1998102E7
M,2018-02-02,25.38,25.54,24.71,24.89,1.0722319E7
M,2018-02-01,25.75,26.15,25.48,25.62,6131638.0
M,2018-01-31,26.33,26.5,25.78,25.95,6417046.0
M,2018-01-30,27.19,27.25,26.13,26.25,7907820.0
M,2018-01-29,27.22,27.64,27.03,27.31,4575693.0
M,2018-01-26,26.61,27.41,26.51,27.4,7088578.0
M,2018-01-25,27.31,27.31,26.46,26.64,8175295.0
M,2018-01-24,27.3,27.64,26.85,27.25,9881862.0
M,2018-01-23,27.36,27.49,26.87,27.36,6793248.0
M,2018-01-22,27.04,27.3,26.74,27.25,6765270.0
M,2018-01-19,26.74,27.01,26.38,27.01,5413965.0
M,2018-01-18,26.29,26.9,26.25,26.6,6711084.0
M,2018-01-17,25.82,26.47,25.65,26.24,8057109.0
M,2018-01-16,27.06,27.19,25.83,25.92,1.1964062E7
M,2018-01-12,26.51,27.43,26.51,26.89,1.3561195E7
M,2018-01-11,25.47,26.35,25.36,26.3,8819961.0
M,2018-01-10,24.41,25.82,24.41,25.6,1.330949E7
M,2018-01-09,24.61,24.94,24.39,24.69,1.0370141E7
M,2018-01-08,24.6,25.08,23.68,24.44,2.123911E7
M,2018-01-05,24.54,24.74,24.1,24.48,1.5374368E7
M,2018-01-04,25.76,25.84,23.44,24.49,3.6705783E7
M,2018-01-03,26.33,26.64,25.25,25.33,1.8526842E7
M,2018-01-02,25.81,26.33,25.65,26.31,1.2464341E7
M,2017-12-29,25.74,25.94,25.18,25.19,6799528.0
M,2017-12-28,25.65,25.82,25.22,25.72,8893508.0
M,2017-12-27,26.87,26.88,25.58,25.64,9842973.0
M,2017-12-26,25.76,27.07,25.74,26.85,1.1886552E7
M,2017-12-22,25.67,25.74,25.39,25.67,5794343.0
M,2017-12-21,25.45,25.82,25.28,25.57,8165287.0
M,2017-12-20,25.5,25.62,25.15,25.33,1.0676284E7
M,2017-12-19,26.0,26.17,25.23,25.25,9452737.0
M,2017-12-18,24.79,25.97,24.79,25.85,1.1941167E7
M,2017-12-15,24.9,25.15,24.48,24.59,1.4276479E7
M,2017-12-14,25.47,25.77,24.44,24.8,1.2279952E7
M,2017-12-13,25.72,26.23,25.48,25.83,9415522.0
M,2017-12-12,26.0,26.37,25.67,25.69,9417042.0
M,2017-12-11,26.1,26.18,25.64,25.89,1.0524929E7
M,2017-12-08,25.37,25.84,24.83,25.8,1.3533529E7
M,2017-12-07,25.53,25.9586,25.18,25.28,1.2932993E7
M,2017-12-06,25.15,25.4,24.61,25.09,1.2334791E7
M,2017-12-05,25.8,25.84,24.76,25.22,1.6155836E7
M,2017-12-04,24.65,26.26,24.65,25.8,2.6956107E7
M,2017-12-01,23.84,24.4,23.39,24.19,1.4783061E7
M,2017-11-30,24.15,24.9,23.73,23.8,2.6021812E7
M,2017-11-29,22.28,24.19,22.23,23.98,3.0789807E7
M,2017-11-28,21.41,22.23,21.12,22.17,1.6065531E7
M,2017-11-27,21.14,21.3617,20.6,21.21,1.6658817E7
M,2017-11-24,21.3,21.65,21.01,21.07,1.2859593E7
M,2017-11-22,20.54,21.14,20.31,20.63,1.0241191E7
M,2017-11-21,20.81,20.82,20.35,20.42,1.0073123E7
M,2017-11-20,20.34,20.92,20.11,20.8,1.1268249E7
M,2017-11-17,20.68,20.94,20.235,20.35,1.3958388E7
M,2017-11-16,20.0,20.42,19.611,20.25,1.1492782E7
M,2017-11-15,19.44,20.24,19.3332,19.98,1.5090827E7
M,2017-11-14,19.15,19.73,19.09,19.7,1.0699182E7
M,2017-11-13,19.99,20.1,18.8,19.33,2.1374182E7
M,2017-11-10,19.51,20.4,19.5,19.98,2.8532155E7
M,2017-11-09,18.01,20.1,17.8,19.5,6.0432373E7
M,2017-11-08,17.51,17.93,17.42,17.57,1.9700683E7
M,2017-11-07,18.16,18.17,17.405,17.53,2.0338437E7
M,2017-11-06,18.32,18.36,17.94,18.16,1.4612247E7
M,2017-11-03,18.8,18.82,18.33,18.36,1.4872082E7
M,2017-11-02,19.08,19.345,18.75,18.78,1.1009617E7
M,2017-11-01,18.85,19.62,18.7548,18.95,1.4924063E7
M,2017-10-31,18.78,18.91,18.51,18.76,1.2851451E7
M,2017-10-30,19.2418,19.59,18.62,18.84,2.3949983E7
M,2017-10-27,20.36,20.5,19.6,19.69,2.5261429E7
M,2017-10-26,21.28,21.47,20.92,21.34,7749452.0
M,2017-10-25,21.35,21.53,21.13,21.245,7666538.0
M,2017-10-24,21.47,21.62,21.15,21.4,8549879.0
M,2017-10-23,21.27,21.7854,21.27,21.33,1.2168692E7
M,2017-10-20,20.39,21.23,20.37,21.17,1.3267315E7
M,2017-10-19,20.07,20.32,19.94,20.19,5301029.0
M,2017-10-18,20.0,20.33,19.93,20.15,6717795.0
M,2017-10-17,19.88,19.99,19.68,19.95,8481219.0
M,2017-10-16,20.02,20.05,19.46,19.89,2.1642536E7
M,2017-10-13,20.31,20.5,20.1001,20.2,8392047.0
M,2017-10-12,20.42,20.42,20.05,20.24,9602227.0
M,2017-10-11,20.65,20.74,20.39,20.47,7185160.0
M,2017-10-10,20.52,20.78,20.46,20.66,8433885.0
M,2017-10-09,20.98,20.99,20.32,20.35,1.2781089E7
M,2017-10-06,20.89,21.08,20.58,20.81,1.322526E7
M,2017-10-05,20.64,21.27,20.54,21.03,9432509.0
M,2017-10-04,21.0,21.01,20.585,20.63,9510000.0
M,2017-10-03,20.99,21.06,20.48,21.05,9983069.0
M,2017-10-02,21.72,21.72,20.37,20.89,2.2585955E7
M,2017-09-29,22.06,22.34,21.76,21.82,7368961.0
M,2017-09-28,22.15,22.42,22.01,22.02,6797005.0
M,2017-09-27,21.88,22.22,21.73,22.14,6914853.0
M,2017-09-26,21.88,21.985,21.65,21.87,5336077.0
M,2017-09-25,21.37,22.0758,21.36,21.81,6754364.0
M,2017-09-22,21.18,21.65,21.18,21.53,7180134.0
M,2017-09-21,21.52,21.55,20.91,21.16,1.0278873E7
M,2017-09-20,21.69,21.69,21.32,21.48,9606557.0
M,2017-09-19,22.26,22.52,21.63,21.78,1.1779627E7
M,2017-09-18,22.58,22.73,22.09,22.1,8153009.0
M,2017-09-15,22.0,22.685,21.99,22.58,1.6096144E7
M,2017-09-14,22.29,22.33,21.85,22.0,8526083.0
M,2017-09-13,22.68,22.87,22.17,22.65,1.26278E7
M,2017-09-12,21.55,22.32,21.5,22.22,8695677.0
M,2017-09-11,21.05,21.74,21.05,21.48,7844780.0
M,2017-09-08,21.7,21.75,21.265,21.32,5805760.0
M,2017-09-07,22.32,22.443,21.59,21.72,6847854.0
M,2017-09-06,21.15,22.25,21.15,22.17,1.4259869E7
M,2017-09-05,21.35,21.35,20.79,21.01,7450882.0
M,2017-09-01,20.88,21.46,20.87,21.41,6927108.0
M,2017-08-31,20.83,20.97,20.67,20.77,7521646.0
M,2017-08-30,20.94,21.05,20.75,20.83,4480436.0
M,2017-08-29,20.87,20.97,20.69,20.94,7136096.0
M,2017-08-28,21.2,21.25,20.94,21.16,5761906.0
M,2017-08-25,20.65,21.27,20.65,21.11,8682920.0
M,2017-08-24,20.89,21.26,20.605,20.69,1.2313824E7
M,2017-08-23,20.32,20.71,20.21,20.5,8833737.0
M,2017-08-22,20.01,20.58,19.94,20.42,1.7506758E7
M,2017-08-21,19.48,19.69,19.324,19.53,9187742.0
M,2017-08-18,19.56,19.64,19.35,19.49,1.0408094E7
M,2017-08-17,20.09,20.13,19.61,19.62,2.0297287E7
M,2017-08-16,20.47,20.79,20.11,20.14,8729371.0
M,2017-08-15,20.4,20.54,20.21,20.29,7922586.0
M,2017-08-14,20.77,20.9,20.31,20.35,8757650.0
M,2017-08-11,20.38,21.03,20.16,20.62,1.2369304E7
M,2017-08-10,22.62,22.85,20.55,20.67,3.9439426E7
M,2017-08-09,23.4,23.66,22.78,23.03,9944818.0
M,2017-08-08,24.11,24.24,23.47,23.52,6359557.0
M,2017-08-07,23.27,23.69,23.04,23.56,6034209.0
M,2017-08-04,23.57,23.65,23.175,23.3,8734041.0
M,2017-08-03,23.29,24.04,23.22,23.59,6042926.0
M,2017-08-02,23.75,23.95,23.1,23.17,6524860.0
M,2017-08-01,23.72,24.005,23.39,23.98,4573047.0
M,2017-07-31,24.37,24.45,23.55,23.75,5839349.0
M,2017-07-28,24.15,24.19,23.61,23.93,5231111.0
M,2017-07-27,23.59,24.37,23.33,24.2,8429710.0
M,2017-07-26,23.55,23.64,23.155,23.54,5432343.0
M,2017-07-25,22.84,23.69,22.79,23.49,6449809.0
M,2017-07-24,23.22,23.35,22.63,22.69,5449843.0
M,2017-07-21,23.12,23.42,22.855,23.36,4804904.0
M,2017-07-20,22.84,23.29,22.83,23.07,5981988.0
M,2017-07-19,22.83,23.08,22.68,22.99,4039315.0
M,2017-07-18,23.0,23.13,22.5,22.68,5777946.0
M,2017-07-17,22.36,23.36,22.32,23.05,1.1482956E7
M,2017-07-14,22.19,22.5,21.96,22.36,8557843.0
M,2017-07-13,21.58,22.46,21.56,22.1,1.3942588E7
M,2017-07-12,21.22,21.341,21.01,21.23,7423584.0
M,2017-07-11,21.15,21.28,20.85,21.17,9995807.0
M,2017-07-10,22.68,22.7,21.065,21.08,2.1622382E7
M,2017-07-07,22.92,23.05,22.6,22.68,7575421.0
M,2017-07-06,23.26,23.4,22.82,22.85,5665432.0
M,2017-07-05,24.17,24.6534,23.51,23.52,1.2103471E7
M,2017-07-03,23.33,23.93,23.3,23.84,3895361.0
M,2017-06-30,23.08,23.265,22.77,23.24,6057119.0
M,2017-06-29,23.28,23.37,22.72,22.95,7045321.0
M,2017-06-28,23.21,23.53,23.03,23.18,1.1295113E7
M,2017-06-27,22.49,23.23,22.49,23.09,1.0408911E7
M,2017-06-26,22.29,22.58,22.175,22.47,6418485.0
M,2017-06-23,22.13,22.32,21.91,22.27,6481746.0
M,2017-06-22,21.63,22.23,21.51,22.09,6439679.0
M,2017-06-21,22.02,22.105,21.535,21.6,8511966.0
M,2017-06-20,22.69,22.69,22.08,22.1,6520424.0
M,2017-06-19,23.05,23.05,22.42,22.71,8740256.0
M,2017-06-16,22.61,22.935,22.17,22.93,8921867.0
M,2017-06-15,22.69,23.12,22.53,22.73,6314975.0
M,2017-06-14,22.3,22.81,21.92,22.76,9395901.0
M,2017-06-13,22.15,22.66,22.12,22.26,8502478.0
M,2017-06-12,22.77,23.33,22.43,22.67,1.2612696E7
M,2017-06-09,21.82,22.76,21.66,22.7,1.3493243E7
M,2017-06-08,22.37,22.86,21.76,21.77,1.876384E7
M,2017-06-07,21.98,22.05,21.51,21.81,1.4036305E7
M,2017-06-06,23.9,24.42,21.86,21.9,3.0005976E7
M,2017-06-05,23.72,23.97,23.46,23.86,4765723.0
M,2017-06-02,24.3,24.5604,23.76,23.81,6779575.0
M,2017-06-01,23.47,24.16,23.47,24.08,6048817.0
M,2017-05-31,23.6,23.625,23.105,23.5,9929735.0
M,2017-05-30,23.44,23.825,23.4,23.6,6727039.0
M,2017-05-26,23.36,23.55,23.13,23.44,4092732.0
M,2017-05-25,23.4,23.72,23.32,23.36,5598573.0
M,2017-05-24,23.05,23.29,22.92,23.18,4435569.0
M,2017-05-23,23.5,23.51,23.04,23.05,5510103.0
M,2017-05-22,23.03,23.71,22.92,23.41,9306739.0
M,2017-05-19,22.81,23.16,22.43,23.01,8479930.0
M,2017-05-18,23.06,23.36,22.61,22.76,8980880.0
M,2017-05-17,22.87,23.22,22.72,23.01,1.1331396E7
M,2017-05-16,23.32,23.32,22.71,22.82,1.6868796E7
M,2017-05-15,23.69,23.9,23.1,23.21,1.9880317E7
M,2017-05-12,24.41,24.45,23.57,23.61,1.9977357E7
M,2017-05-11,26.48,27.0,24.25,24.35,4.7178177E7
M,2017-05-10,29.28,29.83,29.21,29.34,7847276.0
M,2017-05-09,28.66,29.49,28.57,29.3,1.0909091E7
M,2017-05-08,29.15,29.2,28.61,28.67,4039845.0
M,2017-05-05,29.01,29.3,28.91,28.97,4758398.0
M,2017-05-04,29.28,29.56,28.91,28.92,3580886.0
M,2017-05-03,29.5,29.721,29.0,29.16,3780642.0
M,2017-05-02,28.88,29.6,28.76,29.5,3309718.0
M,2017-05-01,29.23,29.3,28.66,28.86,4011230.0
M,2017-04-28,29.47,29.51,29.029,29.22,4237886.0
M,2017-04-27,29.47,29.63,29.2,29.51,2954196.0
M,2017-04-26,29.38,29.72,29.31,29.43,2977996.0
M,2017-04-25,29.35,29.535,29.01,29.28,4453860.0
M,2017-04-24,29.79,29.84,29.05,29.19,4288603.0
M,2017-04-21,29.85,30.05,29.32,29.48,3549439.0
M,2017-04-20,29.32,30.18,29.32,30.01,5348654.0
M,2017-04-19,28.8,29.46,28.8,29.09,4257574.0
M,2017-04-18,28.77,28.84,28.46,28.71,3459596.0
M,2017-04-17,29.17,29.23,28.57,28.82,4144049.0
M,2017-04-13,29.27,29.395,28.82,29.17,4184298.0
M,2017-04-12,29.65,29.78,29.1,29.17,5431079.0
M,2017-04-11,29.56,29.75,29.14,29.71,3316073.0
M,2017-04-10,29.28,29.805,29.11,29.52,4849522.0
M,2017-04-07,29.37,29.62,29.05,29.1,4897667.0
M,2017-04-06,28.97,30.08,28.97,29.42,5994476.0
M,2017-04-05,28.97,29.56,28.71,28.82,6649267.0
M,2017-04-04,29.48,29.49,28.54,28.89,6903739.0
M,2017-04-03,29.6,29.82,29.155,29.64,5185953.0
M,2017-03-31,29.46,29.9,29.45,29.64,5931670.0
M,2017-03-30,29.14,29.645,29.06,29.46,4662809.0
M,2017-03-29,28.55,29.495,28.4,29.27,6315503.0
M,2017-03-28,27.75,28.58,27.7377,28.55,4538282.0
M,2017-03-27,27.82,28.29,27.72,27.93,5857743.0
M,2017-03-24,28.02,28.31,27.82,28.17,4292079.0
M,2017-03-23,28.4,28.96,28.195,28.27,5434531.0
M,2017-03-22,28.39,28.44,27.8326,28.37,6532502.0
M,2017-03-21,29.33,29.4,27.84,28.42,1.1558153E7
M,2017-03-20,30.59,30.59,29.31,29.37,7840370.0
M,2017-03-17,30.56,30.68,30.22,30.54,1.1769077E7
M,2017-03-16,30.0,30.58,29.75,30.41,6385561.0
M,2017-03-15,30.78,30.78,29.89,30.32,8595619.0
M,2017-03-14,31.07,31.75,30.5,30.95,4737058.0
M,2017-03-13,31.32,31.44,30.8,30.9,6127422.0
M,2017-03-10,31.76,31.97,31.465,31.73,3913549.0
M,2017-03-09,31.81,31.87,31.34,31.53,4471724.0
M,2017-03-08,30.84,32.16,30.74,31.77,7859794.0
M,2017-03-07,30.76,31.02,30.56,30.81,6091591.0
M,2017-03-06,31.32,31.35,30.205,30.69,1.0976066E7
M,2017-03-03,32.94,33.17,31.18,31.77,1.3210246E7
M,2017-03-02,33.13,33.32,32.96,33.22,4489316.0
M,2017-03-01,33.48,33.67,32.88,32.95,6063343.0
M,2017-02-28,33.15,33.24,32.66,33.22,1.0276053E7
M,2017-02-27,33.15,33.73,33.11,33.57,6298343.0
M,2017-02-24,32.48,33.56,32.27,33.17,8149139.0
M,2017-02-23,32.48,33.09,32.27,32.44,8962227.0
M,2017-02-22,32.3,32.84,32.11,32.36,9381632.0
M,2017-02-21,33.09,33.49,32.13,32.29,1.6116413E7
M,2017-02-17,31.96,32.31,31.86,32.3,8186049.0
M,2017-02-16,32.7,32.87,31.72,31.82,8813671.0
M,2017-02-15,32.89,33.02,32.41,32.74,7324994.0
M,2017-02-14,32.61,32.99,32.5,32.68,7542135.0
M,2017-02-13,33.07,33.23,32.43,32.58,1.4054991E7
M,2017-02-10,32.44,32.88,31.55,31.99,7894939.0
M,2017-02-09,31.89,32.65,31.64,32.37,7609562.0
M,2017-02-08,31.05,31.98,30.81,31.98,6918029.0
M,2017-02-07,31.74,32.15,31.02,31.2,1.0415405E7
M,2017-02-06,32.64,32.79,31.64,31.79,1.4484994E7
M,2017-02-03,30.69,34.37,30.11,32.69,4.7945209E7
M,2017-02-02,30.32,31.06,29.9,30.72,1.6462848E7
M,2017-02-01,29.32,29.57,29.12,29.21,5061199.0
M,2017-01-31,28.85,29.58,28.74,29.54,9050671.0
M,2017-01-30,29.07,29.53,29.03,29.52,5403587.0
M,2017-01-27,29.95,29.97,28.7,29.11,9943381.0
M,2017-01-26,30.18,30.3355,29.81,29.92,4349716.0
M,2017-01-25,30.16,30.4,29.93,30.15,6088329.0
M,2017-01-24,29.52,30.03,29.52,29.98,5049677.0
M,2017-01-23,29.48,29.92,29.35,29.63,4666007.0
M,2017-01-20,29.57,29.85,29.461,29.7,7018467.0
M,2017-01-19,29.5,29.8301,29.27,29.45,7456093.0
M,2017-01-18,30.01,30.01,28.55,29.44,1.3242207E7
M,2017-01-17,29.91,30.6,29.87,29.9,8772950.0
M,2017-01-13,29.92,30.0,29.66,29.88,5857276.0
M,2017-01-12,29.83,30.19,29.7,29.98,6351963.0
M,2017-01-11,30.5,30.53,29.75,29.95,8963993.0
M,2017-01-10,30.64,30.6835,30.12,30.3,1.068365E7
M,2017-01-09,30.88,30.99,30.35,30.46,9246476.0
M,2017-01-06,30.82,31.52,30.55,30.82,1.1484816E7
M,2017-01-05,31.57,31.85,30.51,30.86,2.9245351E7
M,2017-01-04,35.51,36.395,35.475,35.84,9367074.0
M,2017-01-03,36.13,36.2,34.79,35.23,9777618.0
